,Word,Definition
2571,pumilius  pumilio ,"['a', 'dwarf']"
2572,punctum ,"['a', 'prick,', 'little', 'hole,', 'puncture', '/', 'a', 'point,', 'spot,', 'place']"
2573,pungo  pupugi  punctum ,"['to', 'penetrate', '/', 'sting,', 'annoy,', 'harass']"
2574,pungo  pupugi  punctum ,"['to', 'prick,', 'puncture,', 'stab', '/', 'touch,', 'move']"
2575,puniceus ,"['purple,', 'red']"
2576,punio ,"['to', 'punish,', 'avenge,', 'gave', 'vengeance']"
2577,punitor ,"['punisher,', 'avenger']"
2578,pupa ,"['doll', '/', 'little', 'girl']"
2579,pupillus  pupilla ,"['orphan,', 'ward']"
2580,puppis ,"['stern', 'of', 'a', 'ship,', 'the', 'poop']"
2581,pupula ,"['pupil', 'of', 'the', 'eye']"
2582,purgamentum ,"['rubbish,', 'trash,', 'filth,', 'sweepings']"
2583,purgatio: ,"['cleaning', 'out,', 'cleansing', '/', 'excsuing,', 'justification']"
2584,purgo ,"['to', 'clean,', 'cleanse,', 'purify', '/', 'clear', 'away,', 'wash', 'off', '/', 'justify']"
2585,purpura ,"['purple', 'dye,', 'purple', 'cloth', '/', 'high', 'rank,', 'emperorship']"
2586,purus ,"['pure,', 'free', 'from']"
2587,pusillus ,"['tiny,', 'puny', '/', 'petty,', 'mean']"
2588,putator ,['pruner']
2589,puteo ,"['to', 'stink,', 'be', 'redolent,', 'smell', 'bad']"
2590,puter ,"['rotten,', 'decayed,', 'putrid', '/', 'loose,', 'crumbling', '/', 'flabby']"
2591,putesco ,"['to', 'putrefy,', 'day,', 'rot']"
2592,puteus ,"['well,', 'pit']"
2593,puto ,"['to', 'clear,', 'settle', 'up,', 'consider,', 'think,', 'believe,', 'suppose,', 'judge']"
2594,putus ,"['pure,', 'unmixed,', 'unadulterated']"
2595,pyropus ,['bronze']
2596,pyus  pyxidis ,"['a', 'little', 'box,', 'casket']"
2597,qua ,"['(fem', 'sing', 'abl)', '(the', 'abbess)', 'BY', 'WHOM', 'she', 'was', 'advised']"
2598,quadraginta ,"['forty', '(indecl)']"
2599,quadratus ,"['square,', 'a', 'square']"
2600,quadrigae ,"['four-horse', 'team']"
2601,quadrivium ,"['second', 'stage', 'of', 'the', 'medieval', 'curriculum']"
2602,quadrivium ,"['crossroads,', 'place', 'where', 'four', 'roads', 'meet']"
2603,quadrum ,"['a', 'square']"
2604,quadruplator ,"['an', 'exaggerator,', 'informer']"
2605,quadruplor ,"['to', 'be', 'an', 'informant']"
2606,quae ,"['(neut', 'pl', 'nom)', 'WHAT', 'cannot', 'be', 'avoided', 'must', 'be', 'endured']"
2607,quae  que ,"['(fem', 'sing', 'nom)', '(the', 'milkmaid),', 'WHO', 'loved', 'a', 'prince']"
2608,quae ,"['(neut', 'pl', 'acc)', 'those', 'things', 'WHICH', 'we', 'must', 'have']"
2609,quae ,"['(fem', 'pl', 'nom)', 'Let', 'THOSE', '(women)', 'WHO', 'have', 'ears', 'to', 'hear']"
2610,quaero quero ,"['to', 'seek,', 'search', 'for', '/', 'ask,', 'enquire,', 'search', 'for']"
2611,quaero quero ,"['to', 'miss,', 'want', '/', 'seek', 'to', 'know', '/', 'obtain,', 'get']"
2612,quaesitio  quesitio ,"['investigation,', 'interrogation']"
2613,quaeso queso ,"['to', 'seek', 'for,', 'ask', 'for']"
2614,quaestio  questio ,"['seeking,', 'searching', '/', 'inquiry,', 'investigation']"
2615,quaestuosus  questuosus ,"['profitable,', 'fond', 'of', 'gain,', 'rich']"
2616,quaestus  questus ,"['profit,', 'a', 'source', 'of', 'profit,', 'gaining,', 'getting']"
2617,qualis ,"['of', 'what', 'kind?', 'of', 'the', 'kind', 'that']"
2618,qualiscumque ,"['of', 'any', 'kind', 'whatever,', 'any', 'whatever']"
2619,qualislibet ,"['of', 'what', 'sort', 'you', 'will']"
2620,qualitas ,"['quality,', 'property']"
2621,qualiter ,"['as,', 'just', 'as']"
2622,quam plures ,"['as', 'many', 'as', 'possible']"
2623,quam ,"['(adv', 'and', 'conj)', 'how,', 'than,', 'as', 'as', 'possible']"
2624,quam ,"['(fem', 'sing', 'acc)', '(the', 'church),', 'WHICH', 'the', 'Lord', 'loved']"
2625,quamdiu ,"['such', 'a', 'long', 'time']"
2626,"quamobrem, quam ob rem ","['wherefore?', 'why?', 'for', 'which', 'reason']"
2627,quamquam ,"['nevertheless,', 'and', 'yet', '(beginning', 'a', 'sentence)', '/', 'though']"
2628,quamtotius ,"['?', 'completely']"
2629,quamvis ,"['(conj)', 'however', 'much,', 'although', '/', 'as', 'much', 'as', 'you', 'like']"
2630,quando (interr.) when  si quando ,"['if', 'ever']"
2631,quandoquidem ,"['since,', 'because']"
2632,quanti ,"['for', 'how', 'much,', 'at', 'what', 'price']"
2633,quanto ,"['by', 'how', 'much', '(+', 'comp', 'adj', 'or', 'adv)']"
2634,quantocius quantotius ,"['the', 'soon', 'the', 'better']"
2635,quantocius quantotius ,"['as', 'quickly', 'as', 'possible']"
2636,quantum in me est ,"['as', 'much', 'as', 'in', 'me', 'lies']"
2637,quantum ,"['(+', 'gen)', 'as', 'much', 'of', 'as']"
2638,quantum ,"['how', 'much?,', 'how', 'much!,', 'as', 'much', 'as']"
2639,quantus ... quantus ,"['as', 'great', 'as,', 'as', 'much', 'as']"
2640,quantus ,"['how', 'great?,', 'how', 'great!,', 'how', 'much,', 'as', 'great', 'as']"
2641,quantuscumque  quantacumque  quantumcumque ,"['however', 'great']"
2642,quantuslibet ,"['as', 'much', 'as', 'you', 'will,', 'as', 'great', 'as', 'you', 'will']"
2643,quantuvis ,"['as', 'great', 'as', 'you', 'please,', 'however', 'great']"
2644,quapropter ,['wherefore']
2645,quare ,"['wherefore,', 'why,', 'because', 'of', 'which', 'thing']"
2646,quartus ,['fourth']
2647,quarum ,"['(fem', 'pl', 'gen)', 'their', 'envy', 'and', 'jealousy,', 'OF', 'WHICH', 'we', 'know']"
2648,quas ,"['(fem', 'pl', 'acc)', 'the', 'fates,', 'against', 'whom', 'he', 'struggled']"
2649,quasi ,"['as', 'if,', 'just', 'as,', 'just', 'as', 'if,', 'as', 'it', 'were', '/', 'a', 'sort', 'of']"
2650,quassatio ,"['a', 'shaking']"
2651,quasso ,"['to', 'shake', 'violently,', 'shake', 'to', 'pieces,', 'break,', 'shatter']"
2652,quatenus / quatinus ,"['since,', 'as,', 'in', 'order', 'that,', 'that']"
2653,quatenus / quatinus ,"['how', 'far,', 'to', 'what', 'extent,', 'where,', 'seeing', 'that']"
2654,quater ,"['four', 'times', '/', 'again', 'and', 'again']"
2655,quattuor ,"['four', '(indecl)']"
2656,quem ,"['(masc', 'sing', 'acc)', '(the', 'man),', 'WHOM', 'the', 'king', 'struck']"
2657,quemadmodum ,"['how,', 'in', 'what', 'manner']"
2658,queo ,"['to', 'be', 'able']"
2659,quercetum ,"['an', 'oak', 'grove,', 'and', 'oak', 'forest']"
2660,quercus ,"['oak', 'tree']"
2661,quereia querella ,"['complaint,', 'complaining']"
2662,queribundus ,"['complaining,', 'plaintive,', 'whining']"
2663,querimonia ,"['complaint,', 'a', 'charge', 'in', 'court']"
2664,queritor ,"['to', 'complain', 'excessively,', 'whine,', 'gripe']"
2665,quernus ,['oaken']
2666,queror ,"['to', 'complain,', 'lament,', 'bewail', '(dogs)', 'whine,', 'whimper']"
2667,querulus ,"['complaining,', 'whining,', 'lamenting']"
2668,qui quae que quod ,"['which,', 'what,', 'that']"
2669,qui ,"['(masc', 'pl', 'nom)', 'Let', 'THOSE', '(men)', 'WHO', 'have', 'eyes', 'to', 'see']"
2670,qui ,"['(masc', 'neut', 'nom)', '(the', 'prince)', 'WHO', 'loved', 'a', 'milkmaid']"
2671,quia ,['because']
2672,quibus ,"['(neut', 'pl', 'abl)', 'the', 'arms', 'WITH', 'WHICH', 'he', 'won', 'Rome']"
2673,quibus ,"['(fem', 'pl', 'dat)', 'the', 'good', 'fortune,', 'TO', 'WHICH', 'he', 'owed', 'his', 'crown']"
2674,quibus ,"['(neut', 'pl', 'dat)', 'the', 'crimes', 'FOR', 'WHICH', 'he', 'was', 'executed']"
2675,quibus ,"['(masc', 'pl', 'dat)', 'the', 'monastery', 'IN', 'WHICH', 'he', 'was', 'interred']"
2676,quibus ,"['(masc', 'pl', 'abl)', 'his', 'sons,', 'BY', 'WHOM', 'he', 'was', 'attacked', 'when', 'old']"
2677,quibus ,"['(fem', 'pl', 'abl)', 'the', 'beards,', 'BY', 'WHICH', 'the', 'pirates', 'were', 'known']"
2678,quicquid ,"['whoever,', 'whatever,', 'whatsoever,', 'anything', 'at', 'all']"
2679,quid (neut. of quis ) ,['what']
2680,quidam quaedam quedam quidam ,"['a', 'certain', 'person', 'or', 'thing,', '/', 'kind', 'of']"
2681,"quidem indeed, certainly, at least / ne ... quidem ","['not', 'even']"
2682,quies quietis ,"['quiet,', 'rest,', 'peace']"
2683,quilibet ,"['anyone,', 'anything']"
2684,quin etiam ,"['why', 'even,', 'in', 'fact,', 'moreover']"
2685,quin ,"['but', 'come', 'now,', 'rather,', 'indeed,']"
2686,quinam quaenam quenam quodnam ,"['which?', 'what?']"
2687,quingenti ,"['five', 'hundred']"
2688,quinquennis ,"['five', 'years', 'old']"
2689,quippe ,"['certainly,', 'to', 'be', 'sure,', 'indeed,', 'of', 'course']"
2690,"quisnam, quidnam ","['who,', 'what']"
2691,quisquam ,"['anyone,', 'anything']"
2692,quisque ,"['each', 'one,', 'each', 'person']"
2693,quisquis ,"['whoever,', 'whatever,', 'whatsoever,', 'anything', 'at', 'all']"
2694,quo ,"['to', 'which', 'place,', 'to', 'what', 'place,', 'whither,', 'where']"
2695,quo ,"['(masc', 'sing', 'abl)', '(the', 'money)', 'BY', 'means', 'of', 'WHICH', 'he', 'lived']"
2696,quo ,"['(neut', 'sing', 'abl)', '(the', 'eagerness)', 'THROUGH', 'WHICH', 'he', 'died']"
2697,quod ,"['because,', 'whereas,', 'the', 'point', 'that,', 'the', 'fact', 'that']"
2698,quod ,"['(with', 'time)', 'since,', 'as', 'far', 'as,', 'to', 'the', 'extent', 'that']"
2699,quod ,"['(beginning', 'sentence)', 'and,', 'but,', 'now']"
2700,quod ,"['(neut', 'sing', 'acc)', '(the', 'sea),', 'WHICH', 'you', 'cannot', 'drink', 'dry']"
2701,quod ,"['(neut', 'sing', 'nom)', '(the', 'war),', 'WHICH', 'killed', 'so', 'many']"
2702,quodammodo ,"['in', 'a', 'certain', 'way,', 'in', 'a', 'certain', 'measure']"
2703,quomodo ,"['in', 'what', 'manner,', 'how', '/', 'in', 'whatever', 'way,', 'somehow']"
2704,quondam ,"['formerly,', 'once,', 'at', 'one', 'time,', 'erstwhile']"
2705,quoniam ,"['since,', 'whereas,', 'because']"
2706,quoque ,"['also,', 'too']"
2707,quorum ,"['(neut', 'pl', 'gen)', 'dangers,', 'OF', 'WHICH', 'there', 'were', 'not', 'a', 'few']"
2708,quorum ,"['(masc', 'pl', 'gen)', 'the', 'army,', 'half', 'OF', 'WHICH', 'was', 'ill']"
2709,quos ,"['(masc', 'pl', 'acc)', 'those', 'WHOM', 'he', 'accused', 'of', 'treachery']"
2710,quot ,"['how', 'many,', 'as', 'many', '(indecl)']"
2711,quotiens ,['often']
2712,quotienscumque ,"['however', 'often']"
2713,quovis ,"['to', 'whatever', 'place', 'you', 'will']"
2714,rapio rapui ratum ,"['to', 'seize,', 'snatch,', 'carry', 'away']"
2715,rarus ,"['rare,', 'uncommon']"
2716,ratio ,"['system,', 'manner,', 'method,', 'procedure,', 'manner']"
2717,ratio ,"['reckoning,', 'account', '/', 'reason,', 'judgment,', 'consideration']"
2718,re vera ,"['in', 'truth']"
2719,recedo ,"['to', 'go', 'back,', 'retreat,', 'retire,', 'disappear']"
2720,recipio recepi receptum ,"['to', 'go', 'back,', 'retire,', 'recede,', 'retreat']"
2721,recito ,"['to', 'read', 'aloud,', 'recite']"
2722,recognosco ,"['to', 'recognize,', 'recollect,', 'recall']"
2723,recolo ,"['to', 'recall,', 'reflect', 'upon,', 'rework,', 'resume,', 'rehabilitate']"
2724,recolo ,"['to', 'cultivate,', 'work', 'again,', 'resume,', 'rehabilitate']"
2725,recolo ,"['reflect', 'upon,', 'consider,', 'recall']"
2726,reconcilio ,"['to', 'restore,', 'repair', '/', '(of', 'persons)', 'unite,', 'reconcile']"
2727,recondo ,"['lay', 'up,', 'store,', 'hoard']"
2728,recordatio ,"['recollection,', 'memory,', 'recall']"
2729,recordor ,"['to', 'remember,', 'think', 'of,', 'recollect,', 'ponder', 'over']"
2730,recro ,"['to', 'recreate,', 'restore,', 'revive']"
2731,rectum ,"['virtue,', 'right']"
2732,rectus ,"['right,', 'correct,', 'proper,', 'upright,', 'natural,', 'plain']"
2733,recuperatio ,"['recovery,', 'recuperation']"
2734,recupero ,"['to', 'regain,', 'recoup,', 'recover']"
2735,recuso ,"['to', 'refuse']"
2736,redarguo ,"['refute,', 'disprove,', 'contradict']"
2737,redarguo ,"['disprove,', 'refute', 'With', 'gen', 'prove', 'guilty,', 'convict']"
2738,reddo ,"['to', 'repeat,', 'recite,', 'represent,', 'imitate,', 'pay', 'up,', 'deliver']"
2739,reddo ,"['to', 'give', 'back,', 'restore,', 'return,', 'answer,', 'translate,', 'render']"
2740,redemptio ,"['ransoming,', 'redemption,', 'buying', 'back,', 'farming', 'taxes']"
2741,redemptor ,"['redeemer', '(Christ)']"
2742,redeo ,"['to', 'go', 'back,', 'come', 'back,', 'return', '/', '(revenue)', 'to', 'come', 'in']"
2743,redeo ,"['to', 'fall', 'back', 'upon,', 'be', 'reduced', 'to,', 'be', 'brought', 'to']"
2744,redigo (redactum) ,"['to', 'bring', 'or', 'reduce', 'to', 'a', 'condition,', 'lessen']"
2745,redono ,"['to', 'give', 'back,', 'give', 'up']"
2746,reduco ,"['to', 'lead', 'back,', 'bring', 'back,', 'return']"
2747,redundantia ,"['overflowing,', 'redundancy']"
2748,redundo ,"['to', 'overflow,', 'stream', 'over,', 'overflow,', 'excess,', 'flood']"
2749,refectorium ,"['refectory,', 'monastic', 'mess', 'hall']"
2750,refero ,"['to', 'bring', 'back', 'a', 'message,', 'refer']"
2751,reformo ,"['to', 'form', 'again,', 'mould', 'anew']"
2752,regina ,['queen']
2753,regius ,"['royal,', 'regal']"
2754,regnum ,"['rule,', 'authority,', 'kingdom,', 'realm']"
2755,rego rexi rectum ,"['to', 'guide,', 'direct,', 'to', 'rule']"
2756,regula ,"['rule', '/', 'monastic', 'rule']"
2757,relaxo ,"['to', 'loosen,', 'enlarge,', 'relax,', 'ease,', 'lighten']"
2758,relego relegi relectum ,"['to', 'read', 'again,', 're-read']"
2759,relevo ,"['to', 'lift', 'again,', 'lighten,', 'alleviate,', 'relieve']"
2760,relictus ,"['(fr', 'relinquo)', 'having', 'inherited,', 'been', 'bequeathed']"
2761,relinquo ,"['to', 'leave', 'behind,', 'bequeath', '/', 'abandon,', 'forsake']"
2762,reliquum ,"['remainder,', 'what', 'is', 'left,', 'leavings']"
2763,relucesco ,"['to', 'become', 'bright', 'again']"
2764,reluctor ,"['to', 'struggle', 'against,', 'resist']"
2765,remando ,"['to', 'send', 'back', 'word']"
2766,remaneo ,"['to', 'stay', 'behind,', 'remain,', 'continue']"
2767,remaneo ,"['to', 'remain', 'behind,', 'stay,', 'continue']"
2768,rememdium ,"['cure,', 'remedy,', 'nostrum,', 'medicine']"
2769,removeo ,"['to', 'draw', 'back,', 'set', 'aside,', 'take', 'away']"
2770,remuneror ,"['to', 'repay,', 'reward']"
2771,renuntio ,"['to', 'declare,', 'announce,', 'report,', 'give', 'notice']"
2772,renuo ,"['to', 'deny,', 'refuse,', 'reject']"
2773,rependo ,"['to', 'ransom,', 'pay', 'back,', 'requite']"
2774,repens ,"['sudden,', 'unexpected,', 'fresh,', 'recent']"
2775,repente ,"['suddenly,', 'unexpectedly']"
2776,repere ,"['to', 'crawl']"
2777,reperio ,"['to', 'get', 'again,', 'find,', 'ascertain,', 'discover,', 'invent']"
2778,repetitio ,['repetition']
2779,repeto ,"['to', 'seek', 'again,', 'ask', 'back']"
2780,repeto ,"['to', 'return', 'to,', 'begin', 'again,', 'deduce,', 'recall,', 'recollect']"
2781,repleo ,"['to', 'replenish,', 'fill', 'up,', 'fill', 'up', 'again,', 'fill,', 'satisfy']"
2782,repletus ,"['filled,', 'full']"
2783,repo repsi reptum ,"['to', 'creep,', 'crawl']"
2784,repono ,"['to', 'deposit,', 'lay', 'up,', 'store', '/', 'requite']"
2785,reprehendo ,"['to', 'blame,', 'reprove,', 'refute,', 'hold', 'back,', 'check,', 'catch']"
2786,repugno ,"['to', 'fight', 'against,', 'oppose,', 'resist', '/', 'be', 'incompatible', 'with']"
2787,requiesco requievi requietum ,"['to', 'rest']"
2788,requiro ,"['to', 'ask', 'for,', 'look', 'for,', 'demand,', 'desire,', 'miss']"
2789,res rei ,"['thing,', 'matter,', 'business,', 'affair']"
2790,res publica ,"['commonwealth,', 'state,', 'republic,', 'public', 'business']"
2791,resisto ,"['to', 'resist,', 'make', 'a', 'stand,', 'oppose']"
2792,respicio ,"['to', 'look', 'back,', 'provide', 'for,', 'respect,', 'have', 'regard', 'for']"
2793,respondeo respondi responsum ,"['to', 'answer,', 'reply,', 'respond']"
2794,restituo ,"['restore,', 'put', 'back,', 'replace,', 'reinstate,', 'repair']"
2795,"resumo (resumpsi, resumptum) ","['to', 'renew,', 'repeat,', 'resume']"
2796,retineo ,"['to', 'hold', 'back,', 'restrain,', 'detain,', 'keep,', 'maintain']"
2797,retraho retraxi retractum ,"['to', 'draw', 'back,', 'pull', 'back']"
2798,retribuo ,"['to', 'give', 'again,', 'give', 'as', 'due']"
2799,reus ,"['defendant,', 'accused,', 'answerable,', 'bound']"
2800,revenio ,"['to', 'come', 'back,', 'return']"
2801,reverto ,"['to', 'go', 'back,', 'return,', 'revert']"
2802,revertor reverti reversus ,"['to', 'return,', 'come', 'back']"
2803,revoco ,"['to', 'call', 'back,', 'recover,', 'refer,', 'revoke']"
2804,revolvo ,"['to', 'unroll', 'a', 'book,', 'go', 'over', 'again,', 'repeat']"
2805,rex rgis ,['king']
2806,rhetor ,"['rhetorician,', 'teacher', 'of', 'rhetoric']"
2807,rhetoricus ,['rhetorical']
2808,rideo risi risum ,"['to', 'laugh', 'at,', 'laugh']"
2809,rigor ,"['stiffness,', 'hardness,', 'sternness']"
2810,ritus ,"['usage,', 'ceremony,', 'rite']"
2811,rogo eum ut +subjunctive ,"['to', 'ask', 'someone', 'to', 'do', 'something']"
2812,rogo ,"['to', 'ask,', 'ask', 'for']"
2813,rostrum ,"['bill', 'of', 'a', 'bird,', 'beak']"
2814,rota ,['wheel']
2815,Rotomagense ,['Rouen']
2816,rotundus ,"['wheel-shaped,', 'round']"
2817,rubor ,"['redness,', 'blush,', 'modesty,', 'shame,', 'disgrace']"
2818,rudimentum ,"['trial,', 'attempt,', 'essay']"
2819,rumor ,"['rumor,', 'gossip']"
2820,ruo rui rutum ,"['to', 'rush,', 'fall,', 'be', 'ruined']"
2821,rursus ,"['on', 'the', 'other', 'hand,', 'in', 'return,', 'back,', 'again']"
2822,rus ruris ,"['the', 'country,', 'countryside,', 'rural', 'area']"
2823,rusticus ,"['rustic,', 'rural', '/', 'peasant']"
2824,sacculus ,"['purse,', 'little', 'bag,', 'little', 'sack']"
2825,sacrificum ,['sacrifice']
2826,sacrilegus ,"['sacrilegious,', 'impious']"
2827,saepe sepe ,"['hedge,', 'fence,', 'enclosure,', 'haye']"
2828,saepe sepe ,"['often,', 'frequently,', 'repeatedly']"
2829,saepenumero ,"['repeated,', 'again', 'and', 'again']"
2830,saepius sepius ,"['often,', 'frequently,', 'repeatedly']"
2831,saeta ,['hair']
2832,saeta equina ,['horse-hair']
2833,saevio ,"['to', 'rage,', 'be', 'furious,', 'take', 'violent', 'action']"
2834,sal salis ,"['salt,', 'wit']"
2835,salsus ,"['salty,', 'witty']"
2836,saltem ,"['at', 'least,', 'at', 'all', 'events']"
2837,salus ,"['health,', 'safety,', 'well-being,', 'salvation', '/', 'salutation']"
2838,saluto ,"['to', 'wish', 'well,', 'greet,', 'visit,', 'reverence,', 'pay', 'respect', 'to']"
2839,salutor ,"['visitor,', 'caller']"
2840,salveo ,"['to', 'be', 'well,', 'be', 'in', 'good', 'health']"
2841,salvus ,"['safe,', 'sound']"
2842,sanctifico ,"['to', 'sanctify,', 'make', 'holy']"
2843,sanctimonia ,"['purity,', 'charity,', 'virtue,', 'sanctity,', 'sacredness']"
2844,sanctimonialis ,['nun']
2845,Sanctus Eleutherius ,"['St', 'Eligius']"
2846,Sanctus Egidius ,"['St', 'Gilles']"
2847,sanctus ,"['holy,', 'sacred,', '/', 'saint']"
2848,Sanctus Rodoenus ,"['St', 'Ouen']"
2849,sane ,"['rationally,', 'sensibly,', 'really,', 'indeed,', 'to', 'be', 'sure']"
2850,sanitas ,"['health,', 'soundness', 'of', 'mend,', 'sanity']"
2851,sano ,"['to', 'heal']"
2852,Santiago ,"['St', 'James']"
2853,sanus ,"['sound,', 'healthy,', 'sane']"
2854,sapiens ,"['(subs)', 'a', 'wise', 'man,', 'philosopher']"
2855,sapiens ,"['wise,', 'judicious']"
2856,sapienter ,"['wisely,', 'judiciously']"
2857,sapientia ,['wisdom']
2858,sarcina ,"['bundle,', 'pack,', 'burden,', 'load']"
2859,satago ,"['to', 'pay', 'a', 'creditor,', 'satisfy', 'a', 'creditor']"
2860,satago ,"['have', ""one's"", 'hands', 'full,', 'have', 'enough', 'to', 'do']"
2861,satio ,"['to', 'satisfy,', 'sate']"
2862,satis ,"['enough,', 'sufficient', '/', 'sufficiently']"
2863,sato ,"['to', 'sow,', 'plant']"
2864,satura ,['satire']
2865,saturo ,"['to', 'fill,', 'satisfy']"
2866,scaber ,"['scabby,', 'rough']"
2867,scabies ,"['the', 'itch,', 'mange,', 'a', 'rash']"
2868,Scaldus ,['Scheldt']
2869,scamnum ,"['bench,', 'stool']"
2870,scaphium (sciphus ,"['Herimann,', 'cap', '24)', 'pot,', 'bowl,', 'drinking', 'vessel']"
2871,sceleratus ,"['wicked,', 'accursed,', 'infamous,', 'criminal']"
2872,scelero ,"['to', 'pollute', 'with', 'guilt,', 'with', 'blood,', 'etc']"
2873,scelestus ,"['wicked,', 'accursed,', 'infamous,', 'criminal']"
2874,scelus sceleris ,"['crime,', 'sin,', 'evil', 'deed,', 'wickedness']"
2875,schola ,"['school', '/', 'elite', 'troop', 'of', 'soldiers']"
2876,scientia ,"['knowledge,', 'science,', 'skill']"
2877,scilicet ,"['evidently,', 'certainly,', 'of', 'course,', 'no', 'doubt,', 'assuredly']"
2878,scindo ,"['to', 'cut,', 'rend,', 'split,', 'divide,', 'separate']"
2879,scio scivi scitum ,"['to', 'know']"
2880,scio ,"['to', 'know,', 'understand']"
2881,scio ,"['to', 'know,', 'understand']"
2882,scisco ,"['investigate,', 'ask,', 'inquire', '/', 'vote,', 'ordain,', 'resolve']"
2883,"scribo, scripsi scriptum ","['to', 'write,', 'compose']"
2884,scrinium ,"['bookcase,', 'case', 'for', 'papers']"
2885,scriptor ,"['writer,', 'author,', 'scribe']"
2886,se habere ,"['to', 'keep', 'oneself']"
2887,se gero ,"['to', 'conduct', 'oneself,', 'conduct,', 'carry', 'on']"
2888,se astringo ,"['to', 'commit', 'oneself', 'to']"
2889,secedo ,"['to', 'go', 'apart,', 'withdraw']"
2890,secerno secrevi secretum ,"['to', 'separate']"
2891,secundum ,"['(adv)', 'after,', 'behind']"
2892,secundum ,"['(+', 'inf),', 'following,', 'after,', 'during,', 'according', 'to']"
2893,secundus ,['second']
2894,securus ,"['safe,', 'secure,', 'free', 'from', 'care,', 'unworried,', 'unconcerned']"
2895,"secus non secus, haud secus: ","['just', 'so']"
2896,secus ,"['otherwise,', 'not', 'so']"
2897,secus + atque or quam ,"['differently', 'from,', 'otherwise', 'than']"
2898,secus ,"['wrongly,', 'badly,', 'not', 'as', 'one', 'would', 'wish']"
2899,secuutus ,"['follower,', 'pursuer']"
2900,sed ,"['but', '/', 'and', 'indeed,', 'what', 'is', 'more']"
2901,sedeo sedi sessum ,"['to', 'sit']"
2902,seditio ,"['dissension,', 'quarrel,', 'insurrection,', 'mutiny,', 'rising']"
2903,sedo ,"['to', 'settle,', 'smooth,', 'calm,', 'allay']"
2904,seductor ,['seducer']
2905,semel ,"['a', 'single', 'time,', 'for', 'the', 'first', 'time,', 'even', 'once,', 'once,', 'ever']"
2906,semper ,"['always,', 'ever']"
2907,senectus ,"['old', 'age,', 'dotage']"
2908,senex senis ,"['old,', 'aged,', 'old', 'man']"
2909,sensus ,"['feeling,', 'sense']"
2910,sententia ,"['opinion,', 'thought,', 'way', 'of', 'thinking,', 'meaning,', 'purpose']"
2911,sentio ,"['to', 'judge,', 'suppose,', 'vote']"
2912,sentio ,"['feel,', 'perceive,', 'experience,', 'hold', 'an', 'opinion,']"
2913,seorsum ,"['apart,', 'separately']"
2914,sepelio ,"['to', 'ruin,', 'destroy,', 'bury']"
2915,septem ,['seven']
2916,sepulchrum ,"['rave,', 'tomb,', 'sepulcher']"
2917,seputus ,"['buried,', 'sunk,', 'immersed']"
2918,sequax ,"['following,', 'attending,', 'pursuing']"
2919,sequor sequi secutus ,"['to', 'follow,', 'trail']"
2920,serio ,['seriously']
2921,serius ,"['serious,', 'grave,', 'solemn']"
2922,sermo ,"['talk,', 'common', 'talk,', 'rumor,', 'report,', 'discussion']"
2923,sermo ,"['discussion,', 'talk,', 'common', 'talk,', 'conversation,', 'rumor']"
2924,sero ,"['to', 'sow,', 'plant', 'also,', 'late,', 'at', 'a', 'late', 'hour']"
2925,servio ,"['(+', 'dat)', 'to', 'be', 'a', 'slave', 'to,', 'serve']"
2926,servitus ,"['servitude,', 'slavery']"
2927,servo ,"['to', 'watch', 'over,', 'keep,', 'protect,', 'observe,', 'save,', 'reserve']"
2928,servus ,"['slave,', 'serf']"
2929,sese =se ,"['himself,', 'herself,', 'itself']"
2930,severitas ,"['severity,', 'rigor,', 'sternness,', 'strictness']"
2931,si ,['if']
2932,sibimet ,"['to', 'them', 'themselves']"
2933,sic ,"['so,', 'thus', '/', 'yes,', 'that', 'is', 'so,', 'that', 'is', 'right']"
2934,siccus ,"['dry,', 'thirsty', '/', 'sober,', 'temperate']"
2935,Siclinium ,['Seclin']
2936,Siclinium ,"['Seclin', 'in', 'Melanchois']"
2937,sicut ,"['as,', 'just', 'as,', 'as', 'it', 'were,', '(+verb', 'in', 'subj)', 'just', 'as', 'if']"
2938,sidus ,"['constellation,', 'star']"
2939,signum ,"['sign,', 'seal,', 'indication,', 'sign']"
2940,silens ,"['silent,', 'still']"
2941,silenti etc ,"['the', 'dead']"
2942,silentium ,"['silence,', 'stillness,', 'quiet,', 'repose,', 'obscurity']"
2943,silentium ,"['(religion)', 'faultlessness,', 'perfection']"
2944,sileo ,"['to', 'be', 'still,', 'silent', '/', '(+', 'acc)', 'be', 'silent', 'about', '/', 'rest']"
2945,siligo -inis ,"['wheat,', 'wheat', 'flour']"
2946,silva ,"['woods,', 'forest']"
2947,similis ,"['similar,', 'like,', 'resembling']"
2948,similitudo ,"['likeness,', 'resemblance', '/', 'uniformity']"
2949,simplex ,"['simple,', 'unaffected']"
2950,simul atque ,"['as', 'soon', 'as']"
2951,simul ,"['at', 'once,', 'at', 'the', 'same', 'time,', 'together']"
2952,simulatio ,"['pretense,']"
2953,sine ,"['(+', 'abl)', 'without']"
2954,singularis ,"['alone,', 'unique,', 'extraordinary,', 'individual,', 'singular']"
2955,singuli ,"['one', 'each,', 'one', 'apiece,', 'single,', 'separate']"
2956,singultim ,['stammeringly']
2957,singultus ,"['sobbing,', 'gasping']"
2958,singultus ,"['sobbing,', 'death', 'rattle']"
